Dataset,Tool,Entity,Precision,Recall,F1
conll2003,spaCy,B-CARDINAL,0.0,0.0,0.0
conll2003,spaCy,B-DATE,0.0,0.0,0.0
conll2003,spaCy,B-EVENT,0.0,0.0,0.0
conll2003,spaCy,B-FAC,0.0,0.0,0.0
conll2003,spaCy,B-GPE,0.0,0.0,0.0
conll2003,spaCy,B-LANGUAGE,0.0,0.0,0.0
conll2003,spaCy,B-LAW,0.0,0.0,0.0
conll2003,spaCy,B-LOC,0.364,0.024,0.045
conll2003,spaCy,B-MISC,0.0,0.0,0.0
conll2003,spaCy,B-MONEY,0.0,0.0,0.0
conll2003,spaCy,B-NORP,0.0,0.0,0.0
conll2003,spaCy,B-ORDINAL,0.0,0.0,0.0
conll2003,spaCy,B-ORG,0.316,0.431,0.365
conll2003,spaCy,B-PER,0.0,0.0,0.0
conll2003,spaCy,B-PERCENT,0.0,0.0,0.0
conll2003,spaCy,B-PERSON,0.0,0.0,0.0
conll2003,spaCy,B-PRODUCT,0.0,0.0,0.0
conll2003,spaCy,B-QUANTITY,0.0,0.0,0.0
conll2003,spaCy,B-TIME,0.0,0.0,0.0
conll2003,spaCy,B-WORK_OF_ART,0.0,0.0,0.0
conll2003,spaCy,I-LOC,0.0,0.0,0.0
conll2003,spaCy,I-MISC,0.0,0.0,0.0
conll2003,spaCy,I-ORG,0.0,0.0,0.0
conll2003,spaCy,I-PER,0.0,0.0,0.0
conll2003,HuggingFace,B-LOC,0.673,0.843,0.748
conll2003,HuggingFace,B-MISC,0.511,0.756,0.61
conll2003,HuggingFace,B-ORG,0.522,0.847,0.646
conll2003,HuggingFace,B-PER,0.45,0.874,0.594
conll2003,HuggingFace,I-LOC,0.022,0.023,0.023
conll2003,HuggingFace,I-MISC,0.036,0.032,0.034
conll2003,HuggingFace,I-ORG,0.167,0.066,0.094
conll2003,HuggingFace,I-PER,0.315,0.112,0.165
wnut17,spaCy,B-CARDINAL,0.0,0.0,0.0
wnut17,spaCy,B-DATE,0.0,0.0,0.0
wnut17,spaCy,B-EVENT,0.0,0.0,0.0
wnut17,spaCy,B-FAC,0.0,0.0,0.0
wnut17,spaCy,B-GPE,0.0,0.0,0.0
wnut17,spaCy,B-LANGUAGE,0.0,0.0,0.0
wnut17,spaCy,B-LAW,0.0,0.0,0.0
wnut17,spaCy,B-LOC,0.0,0.0,0.0
wnut17,spaCy,B-MONEY,0.0,0.0,0.0
wnut17,spaCy,B-NORP,0.0,0.0,0.0
wnut17,spaCy,B-ORDINAL,0.0,0.0,0.0
wnut17,spaCy,B-ORG,0.0,0.0,0.0
wnut17,spaCy,B-PERCENT,0.0,0.0,0.0
wnut17,spaCy,B-PERSON,0.0,0.0,0.0
wnut17,spaCy,B-PRODUCT,0.0,0.0,0.0
wnut17,spaCy,B-QUANTITY,0.0,0.0,0.0
wnut17,spaCy,B-TIME,0.0,0.0,0.0
wnut17,spaCy,B-WORK_OF_ART,0.0,0.0,0.0
wnut17,spaCy,B-corporation,0.0,0.0,0.0
wnut17,spaCy,B-creative-work,0.0,0.0,0.0
wnut17,spaCy,B-group,0.0,0.0,0.0
wnut17,spaCy,B-location,0.0,0.0,0.0
wnut17,spaCy,B-person,0.0,0.0,0.0
wnut17,spaCy,B-product,0.0,0.0,0.0
wnut17,spaCy,I-corporation,0.0,0.0,0.0
wnut17,spaCy,I-creative-work,0.0,0.0,0.0
wnut17,spaCy,I-group,0.0,0.0,0.0
wnut17,spaCy,I-location,0.0,0.0,0.0
wnut17,spaCy,I-person,0.0,0.0,0.0
wnut17,spaCy,I-product,0.0,0.0,0.0
wnut17,HuggingFace,B-LOC,0.0,0.0,0.0
wnut17,HuggingFace,B-MISC,0.0,0.0,0.0
wnut17,HuggingFace,B-ORG,0.0,0.0,0.0
wnut17,HuggingFace,B-PER,0.0,0.0,0.0
wnut17,HuggingFace,B-corporation,0.0,0.0,0.0
wnut17,HuggingFace,B-creative-work,0.0,0.0,0.0
wnut17,HuggingFace,B-group,0.0,0.0,0.0
wnut17,HuggingFace,B-location,0.0,0.0,0.0
wnut17,HuggingFace,B-person,0.0,0.0,0.0
wnut17,HuggingFace,B-product,0.0,0.0,0.0
wnut17,HuggingFace,I-LOC,0.0,0.0,0.0
wnut17,HuggingFace,I-MISC,0.0,0.0,0.0
wnut17,HuggingFace,I-ORG,0.0,0.0,0.0
wnut17,HuggingFace,I-PER,0.0,0.0,0.0
wnut17,HuggingFace,I-corporation,0.0,0.0,0.0
wnut17,HuggingFace,I-creative-work,0.0,0.0,0.0
wnut17,HuggingFace,I-group,0.0,0.0,0.0
wnut17,HuggingFace,I-location,0.0,0.0,0.0
wnut17,HuggingFace,I-person,0.0,0.0,0.0
wnut17,HuggingFace,I-product,0.0,0.0,0.0
bc5cdr,spaCy,B-CARDINAL,0.0,0.0,0.0
bc5cdr,spaCy,B-Chemical,0.0,0.0,0.0
bc5cdr,spaCy,B-DATE,0.0,0.0,0.0
bc5cdr,spaCy,B-Disease,0.0,0.0,0.0
bc5cdr,spaCy,B-EVENT,0.0,0.0,0.0
bc5cdr,spaCy,B-FAC,0.0,0.0,0.0
bc5cdr,spaCy,B-GPE,0.0,0.0,0.0
bc5cdr,spaCy,B-LANGUAGE,0.0,0.0,0.0
bc5cdr,spaCy,B-LAW,0.0,0.0,0.0
bc5cdr,spaCy,B-LOC,0.0,0.0,0.0
bc5cdr,spaCy,B-MONEY,0.0,0.0,0.0
bc5cdr,spaCy,B-NORP,0.0,0.0,0.0
bc5cdr,spaCy,B-ORDINAL,0.0,0.0,0.0
bc5cdr,spaCy,B-ORG,0.0,0.0,0.0
bc5cdr,spaCy,B-PERCENT,0.0,0.0,0.0
bc5cdr,spaCy,B-PERSON,0.0,0.0,0.0
bc5cdr,spaCy,B-PRODUCT,0.0,0.0,0.0
bc5cdr,spaCy,B-QUANTITY,0.0,0.0,0.0
bc5cdr,spaCy,B-TIME,0.0,0.0,0.0
bc5cdr,spaCy,B-WORK_OF_ART,0.0,0.0,0.0
bc5cdr,spaCy,I-Chemical,0.0,0.0,0.0
bc5cdr,spaCy,I-Disease,0.0,0.0,0.0
bc5cdr,HuggingFace,B-Chemical,0.0,0.0,0.0
bc5cdr,HuggingFace,B-Disease,0.0,0.0,0.0
bc5cdr,HuggingFace,B-LABEL_0,0.0,0.0,0.0
bc5cdr,HuggingFace,B-LABEL_1,0.0,0.0,0.0
bc5cdr,HuggingFace,I-Chemical,0.0,0.0,0.0
bc5cdr,HuggingFace,I-Disease,0.0,0.0,0.0
bc5cdr,HuggingFace,I-LABEL_0,0.0,0.0,0.0
bc5cdr,HuggingFace,I-LABEL_1,0.0,0.0,0.0
jnlpba,spaCy,B-CARDINAL,0.0,0.0,0.0
jnlpba,spaCy,B-DATE,0.0,0.0,0.0
jnlpba,spaCy,B-DNA,0.0,0.0,0.0
jnlpba,spaCy,B-EVENT,0.0,0.0,0.0
jnlpba,spaCy,B-FAC,0.0,0.0,0.0
jnlpba,spaCy,B-GPE,0.0,0.0,0.0
jnlpba,spaCy,B-LAW,0.0,0.0,0.0
jnlpba,spaCy,B-LOC,0.0,0.0,0.0
jnlpba,spaCy,B-MONEY,0.0,0.0,0.0
jnlpba,spaCy,B-NORP,0.0,0.0,0.0
jnlpba,spaCy,B-ORDINAL,0.0,0.0,0.0
jnlpba,spaCy,B-ORG,0.0,0.0,0.0
jnlpba,spaCy,B-PERCENT,0.0,0.0,0.0
jnlpba,spaCy,B-PERSON,0.0,0.0,0.0
jnlpba,spaCy,B-PRODUCT,0.0,0.0,0.0
jnlpba,spaCy,B-QUANTITY,0.0,0.0,0.0
jnlpba,spaCy,B-RNA,0.0,0.0,0.0
jnlpba,spaCy,B-TIME,0.0,0.0,0.0
jnlpba,spaCy,B-WORK_OF_ART,0.0,0.0,0.0
jnlpba,spaCy,B-cell_line,0.0,0.0,0.0
jnlpba,spaCy,B-cell_type,0.0,0.0,0.0
jnlpba,spaCy,B-protein,0.0,0.0,0.0
jnlpba,spaCy,I-DNA,0.0,0.0,0.0
jnlpba,spaCy,I-RNA,0.0,0.0,0.0
jnlpba,spaCy,I-cell_line,0.0,0.0,0.0
jnlpba,spaCy,I-cell_type,0.0,0.0,0.0
jnlpba,spaCy,I-protein,0.0,0.0,0.0
jnlpba,HuggingFace,B-DNA,0.0,0.0,0.0
jnlpba,HuggingFace,B-LABEL_0,0.0,0.0,0.0
jnlpba,HuggingFace,B-LABEL_1,0.0,0.0,0.0
jnlpba,HuggingFace,B-RNA,0.0,0.0,0.0
jnlpba,HuggingFace,B-cell_line,0.0,0.0,0.0
jnlpba,HuggingFace,B-cell_type,0.0,0.0,0.0
jnlpba,HuggingFace,B-protein,0.0,0.0,0.0
jnlpba,HuggingFace,I-DNA,0.0,0.0,0.0
